id,title,description,type,category_code,reward_xp,verification_type,place_content_id,place_name,version,is_reusable,review_status,missing_since
rq_1edb8fe95e90460c,"2025 대전 소통공감행사 ""청끌夜"" 원도심 걷기","2025 대전 소통공감행사 ""청끌夜"" 주변을 걸으며 원도심 산책 기록을 완성합니다.",이동형,downtown,40,gps_distance,3553823,"2025 대전 소통공감행사 ""청끌夜""",1,t,approved,2026-09-08 10:07:15.36301+09
rq_f3777baba4204464,2025 유성온천 크리스마스 축제 원도심 걷기,2025 유성온천 크리스마스 축제 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,2915307,2025 유성온천 크리스마스 축제,1,t,approved,
rq_cf843e38ccf343cb,2025년 제20회 인문주간 원도심 걷기,2025년 제20회 인문주간 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,3551562,2025년 제20회 인문주간,1,t,approved,
rq_e749f34439b34d79,2026 선양 맨몸마라톤 원도심 걷기,2026 선양 맨몸마라톤 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,3420072,2026 선양 맨몸마라톤,1,t,approved,
rq_1bf34bd4252a49da,광수사 원도심 걷기,광수사 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,2758282,광수사,1,t,approved,
rq_cbd90d9393744a18,구절사 원도심 걷기,구절사 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,298095,구절사,1,t,approved,2026-09-08 10:07:15.36301+09
rq_d362c343bf014045,국립대전현충원 보훈둘레길 원도심 걷기,국립대전현충원 보훈둘레길 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,126003,국립대전현충원 보훈둘레길,1,t,approved,
rq_9adee636f79848a0,굿모닝레지던스호텔휴 원도심 걷기,굿모닝레지던스호텔휴 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,1932079,굿모닝레지던스호텔휴,1,t,approved,
rq_c2dc2c6f60d44a88,김정선생묘소일원 원도심 걷기,김정선생묘소일원 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,1126556,김정선생묘소일원,1,t,approved,
rq_d429b9ddf48f4dbf,꿀잼도시 대전홍보관 원도심 걷기,꿀잼도시 대전홍보관 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,3454325,꿀잼도시 대전홍보관,1,t,approved,
rq_d2972e30940c48b3,남간정사 원도심 걷기,남간정사 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,1955668,남간정사,1,t,approved,
rq_a23d51eb3ec04936,내원사(대전) 원도심 걷기,내원사(대전) 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,298208,내원사(대전),1,t,approved,
rq_89aa6bb2221c402c,대덕문예회관 원도심 걷기,대덕문예회관 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,1747497,대덕문예회관,1,t,approved,
rq_60d747eccd9d40c1,대덕문화원 원도심 걷기,대덕문화원 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,130201,대덕문화원,1,t,approved,
rq_4dab75b8f12a4d86,대동벽화마을 원도심 걷기,대동벽화마을 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,2752861,대동벽화마을,1,t,approved,
rq_f93a0e66d5ab485a,대전 가수원도서관 원도심 걷기,대전 가수원도서관 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,130802,대전 가수원도서관,1,t,approved,
rq_1703a9d77a254149,대전 신흥사 원도심 걷기,대전 신흥사 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,2766959,대전 신흥사,1,t,approved,
rq_9f6e979d70dd4266,대전 엑스포 아쿠아리움 원도심 걷기,대전 엑스포 아쿠아리움 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,2782788,대전 엑스포 아쿠아리움,1,t,approved,
rq_ee869fab155e4c51,대전 중구문화원 원도심 걷기,대전 중구문화원 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,129973,대전 중구문화원,1,t,approved,
rq_a54da8950b7542b3,대전 한화생명 볼파크 원도심 걷기,대전 한화생명 볼파크 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,2766990,대전 한화생명 볼파크,1,t,approved,
rq_4f2384aa0f9d4074,대전교통문화연수원 원도심 걷기,대전교통문화연수원 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,1089992,대전교통문화연수원,1,t,approved,
rq_8168b18282724353,대전근로자종합복지회관 원도심 걷기,대전근로자종합복지회관 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,131149,대전근로자종합복지회관,1,t,approved,
rq_511dde135c834374,대전라마다호텔 원도심 걷기,대전라마다호텔 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,2913368,대전라마다호텔,1,t,approved,
rq_79c3915027764b43,대전별서 원도심 걷기,대전별서 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,3533130,대전별서,1,t,approved,
rq_e07d07232dcc41a2,대전서구문화원 원도심 걷기,대전서구문화원 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,130197,대전서구문화원,1,t,approved,
rq_f5540a4a44e44062,대전어린이회관 원도심 걷기,대전어린이회관 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,1125312,대전어린이회관,1,t,approved,
rq_aa0725ed161a495e,대전트래블라운지 원도심 걷기,대전트래블라운지 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,2722927,대전트래블라운지,1,t,approved,
rq_5a89aa1c8a0443b4,대흥동 문화예술의거리 원도심 걷기,대흥동 문화예술의거리 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,1909639,대흥동 문화예술의거리,1,t,approved,
rq_122d128532624a2e,도산서원(대전) 원도심 걷기,도산서원(대전) 주변을 걸으며 원도심 산책 기록을 완성합니다.,이동형,downtown,40,gps_distance,1955818,도산서원(대전),1,t,approved,
